idPropType,Title,SortKey,FormatString,Type,Flags,Description
24,"Maneuvers: Steep Turns","""","Steep Turns",2,0,"Indicates that steep turns were performed on this flight"
25,"Missed Approaches","""","{0} Missed Approach(es)",0,0,"Number of missed approaches performed"
26,"Night Vision Time (Goggles)","""","Night Vision Time (Goggles): {0}",1,32768,"Time spent flying by use of night vision goggles"
27,"Stalls, Power-off","""","Power-off Stalls",2,0,"Indicates that power-off stalls were performed on this flight"
28,"Stalls, Power-on","""","Power-on Stalls",2,0,"Indicates that power-on stalls were performed on this flight"
29,"Procedure Turns","""","Procedure Turns",2,0,"Indicates that procedure turns were performed on this flight"
30,"Safety-pilot time","""","Safety-pilot time: {0}",1,0,"Time spent acting as a safety pilot"
31,Short-Approaches,"""",Short-Approaches,2,0,"Indicates that short approaches were performed on this flight"
32,"Simulated Emergency","""","Simulated Emergency",2,0,"Indicates that a simulated emergency was performed on this flight"
33,"Landings - Snow/Ski","""","{0} Snow/Ski Landing(s)",0,0,"Subset of landings that were on snow"
34,"Takeoffs - Short Field","""","{0} Short-field takeoff(s)",0,0,"Subset of takeoffs that were on short runways"
35,"Takeoffs - Soft Field","""","{0} Soft-field takeoff(s)",0,0,"Subset of takeoffs that were on soft runways (e.g., grass or gravel)"
36,"Landings - Water","""","{0} Water Landing(s)",0,0,"Subset of landings that were on water"
37,"Approaches - VOR/DME","""","{0} VOR/DME Approach(es)",0,4096,"Subset of total approaches that were VOR/DME approaches"
38,"Approaches - Localizer Backcourse","""","{0} Localizer Backcourse Approach(es)",0,4096,"Subset of total approaches that were localizer backcourse approaches"
39,"Checkride - Private Pilot","""","Private Pilot Checkride",2,1048577,"Indicates that this flight was a checkride for a private pilot certificate"
40,"Checkride - Instrument","""","Instrument Checkride",2,1048579,"Indicates that this flight was a checkride for an instrument rating"
41,"Instrument Proficiency Check (IPC) Received","""","Instrument Proficiency Check",2,2,"Indicates that this flight was an instrument proficiency check"
42,"Checkride - Commercial","""","Commercial Checkride",2,1048577,"Indicates that this flight was a checkride for a commercial rating"
43,"Checkride - New Rating","""","Checkride - New Rating",2,1,"Indicates that this flight was a checkride for a new rating"
44,"Biennial Flight Review (BFR)","""","Biennial Flight Review (BFR)",2,1,"Indicates that this flight was a flight review"
45,"Checkride - ATP","""","ATP Checkride",2,1048577,"Indicates that this flight was a checkride for an airline transport pilot rating"
46,"Carried Parachute Jumpers","""","Carried Parachute Jumpers",2,0,"Indicates that parachute jumpers were carried on this flight"
47,"Parachute Jumps","""","{0} Parachute Jump(s)",0,0,"Number of parachute jumps performed"
48,"Unusual Att. Recoveries - Desc. (Vne)","""","{0} Unusual Att. Recoveries - Desc. (Vne)",0,8196,"Number of unusual attitude recoveries performed (descending)"
49,"Unusual Att. Recoveries - Asc. (stall)","""","{0} Unusual Att. Recoveries - Asc. (stall)",0,8200,"Number of unusual attitude recoveries performed (ascending)"
50,"Night Vision - Takeoff","""","{0} Night Vision Takeoffs",0,16,"Number of takeoffs performed using night vision technology"
51,"Night Vision - Landing","""","{0} Night Vision Landings",0,32,"Number of landings performed using night vision technology"
52,"Night Vision - Hovering Tasks","""","{0} Night Vision Hovering Tasks",0,64,"Number of hovering tasks performed using night vision technology"
53,"Night Vision - Dep./Arr. Tasks","""","{0} Night Vision Dep./Arr. Tasks",0,128,"Number of departures and arrivals performed using night vision technology"
54,"Night Vision - Transitions to/from unaided","""","{0} Transitions to/from Night Vision",0,256,"Number of transitions between night-vision aided and un-aided"
55,"Night Vision Proficiency Check","""","Night Vision Proficiency Check",2,512,"Indicates that this flight included a night vision proficiency theck"
56,"Glider - IFR Maneuvers Time","""","IFR Maneuvers Time (Glider): {0}",1,1024,"Time spent performing maneuvers required by 61.57(c)(6)(i)(B)"
57,"Glider - IFR Maneuvers to carry Passengers","""","IFR Maneuvers to Carry Passengers",2,2048,"Indicates that this flight included maneuvers required by 61.57(c)(6)(ii)(B)"
58,"Landings - Tailwheel, 3-point","""","{0} Tailwheel Landing(s), 3-point",0,0,"Subset of landings that were 3-point landings (for tailwheel aircraft)"
59,"Landings - Tailwheel, Wheel","""","{0} Tailwheel Landing(s), wheel",0,0,"Subset of landings that were wheel landings landings (for tailwheel aircraft)"
60,"Landings - Touch and Go","""","{0} Touch-and-go Landing(s)",0,0,"Subset of landings that were touch-and-go"
61,"Landings - Stop and Go","""","{0} Stop-and-go Landing(s)",0,0,"Subset of landings that were stop-and-go"
62,"Crew 1","""","Crew 1: {0}",5,0,"Name for a crew member"
63,"Crew 2","""","Crew 2: {0}",5,0,"Name for another crew member (use Crew 1 for first crew member)"
64,"Pay Rate","""","Pay Rate: {0}",6,8192,"Money earned per unit time or per flight (not included in totals)"
65,"Trip Number","""","Trip Number: {0}",5,0,"For flights that are identified by a unique number, enter it here."
66,"Logsheet #","""","Logsheet: {0}",5,0,"Information about the logsheet for the flight"
67,"Per Diem","""","Per Diem: {0}",6,8192,"Money made available for daily expenses (not included in totals)"
68,"Night Vision Time (FLIR)","""","Night Vision Time (FLIR): {0}",1,32768,"Time spent using infrared-based night-vision technology"
69,"Front-seat Time","""","Front-seat Time: {0}",1,16777216,"Time spent in the front seat of an aircraft with tandem seating"
70,"Back-seat Time","""","Back-seat Time: {0}",1,16777216,"Time spent in the back seat of an aircraft with tandem seating"
71,"Fuel Consumed","""","Fuel Consumed: {0}",1,2097152,"Amount of fuel consumed on a flight"
72,"Fuel Remaining At Landing","""","Fuel Remaining: {0}",1,2105344,"Amount of fuel in the tanks at the end of a flight"
73,"Takeoffs - Night","""","Night Takeoff(s): {0}",0,16384,"Subset of takeoffs that were performed at night; contributes to 61.57(b)"
74,"Takeoffs - Water","""","{0} Water Takeoff(s)",0,0,"Subset of takeoffs that were performed on water"
75,"Takeoffs - Snow/Ski","""","{0} Snow/Ski Takeoff(s)",0,0,"Subset of takeoffs that were performed on snow"
76,"First Time To Airport","""","First Time to Airport {0}",5,0,"The name(s) or ID(s) of airports that were visited for the first time on this flight."
77,"Solo Time","""","Solo Time: {0}",1,262144,"Amount of time that you were alone in the aircraft"
78,"Approaches - Precision (unspecified type)","""","{0} Precision Approach(es) (unspecified type)",0,4096,"Subset of total approaches that were precision approaches"
79,"Approaches - Non-precision (unspecified type)","""","{0} Non-precision Approach(es) (unspecified type)",0,4096,"Subset of total approaches that were non-precision approaches"
80,"Approaches - GPS/LPV","""","{0} GPS/LPV Approach(es)",0,4096,"Subset of total approaches that were GPS/LPV approaches"
81,"180-Degree Power-off Accuracy Landings","""","{0} 180-Degree Power-off Accuracy Landing(s)",0,0,"Number of 180-degree power-off approaches performed"
82,"IFR Time","""","IFR Time: {0}",1,0,"Time spent under instrument flight rules (whether or not in IMC)"
83,"Glider Circuits","""","{0} Glider Circuit(s)",0,0,"Number of circuits performed in a glider"
84,"Glider: Thermaling","""",Thermaling,2,0,"Indicates that thermals were used while flying a glider"
85,"Aerobatics Performed In Flight","""","Aerobatics Performed",2,0,"Indicates that aerobatic maneuvers were performed on this flight"
86,"Sign-off: Tailwheel","""","Tailwheel Sign-off",2,1048576,"Indicates that the pilot received a tailwheel endorsement on this flight"
87,"Sign-off: Complex","""","Complex Sign-off",2,1048576,"Indicates that the pilot received a complex-aircraft endorsement on this flight"
88,"Sign-off: High Performance","""","High Performance Sign-off",2,1048576,"Indicates that the pilot received a high-performance endorsement on this flight"
89,"Checkride - Sport Pilot","""","Sport Pilot Checkride",2,1048577,"Indicates that this flight was a check ride for a sport pilot certificate"
90,"Military Pilot Time","""","Military Pilot Time: {0}",1,0,"Amount of time spent in a military capacity"
91,"Intercepting and Tracking Courses","""","Intercepting and Tracking Courses",2,0,"Indicates that the pilot intercepted and tracked courses on this flight"
92,"Instructor Name","""","Instructor: {0}",5,0,"Name of the instructor for a flight"
93,"Takeoffs (any)","""","Takeoffs: {0}",0,0,"Total number of takeoffs performed in the flight"
94,"Fuel Added","""","Fuel Added: {0}",1,2097152,"Amount of fuel added on the flight (in whatever units you choose)"
95,"Tachometer Start","""","Starting Tach: {0}",1,2105344,"Tachometer value at engine start"
96,"Tachometer End","""","Ending Tach: {0}",1,2105344,"Tachometer value at engine shutdown"
97,"Instruction Charge (Received)","""","Instruction Charge Received: {0}",6,2097152,"Amount of money earned for providing instruction on the flight"
98,"Offshore Time","""","Offshore Time: {0}",1,0,"Amount of time spent over water"
99,"Approaches - OSAP","""","{0} OSAP Approaches",0,4096,"Subset of approaches which are  Offshore Standard Approach Procedures"
100,"Cross-Country less than 50nm","""","Cross-country less than 50nm: {0}",1,0,"Time that counts as cross-country, within 50nm of the departure airport"
101,"Air Refueling - Receiver","""","{0} Air-Refuelings - Receiver",0,0,"Number of times flight was refueled in-flight"
102,"Air Refueling - Tanker","""","{0} Air Refuelings - Tanker",0,0,"Number of times that your flight fueld another aircraft in flight"
103,"Air Refueling - Heavy Receiver","""","{0} Air Refuelings - Heavy Receiver",0,0,"	Number of times flight was refueled in-flight by heavy tanker"
104,"Air Refueling - Heavy Tanker","""","{0} Air Refuelings - Heavy Tanker",0,0,"Number of times that your heavy tanker flight fueld another aircraft in flight"
105,"Formation Departures","""","{0} Formation Departures",0,0,"Number of departures performed in formation flight"
106,"Formation Arrivals","""","{0} Formation Arrivals",0,0,"Number of arrivals performed in formation flight"
107,"Instrument Examiner","""","Instrument Examiner Time: {0}",1,0,"Time spent in role of instrument examiner"
108,"Standardization Instructor Pilot","""","Standardization instructor Pilot Time: {0}",1,0,"Time spent in role of standardization instructor"
109,"Military Instructor Pilot Time","""","Instructor Pilot Time: {0}",1,0,"Time spent providing instruction in a military capacity"
110,"Military Co-Pilot Time","""","Co-Pilot Time: {0}",1,0,"Time spent as co-pilot in a military capacity"
111,"Air Tanker - Fire Bombing/Scooping Time","""","Air Tanker - Fire Bombing/Scooping Time: {0}",1,0,"Time spent scooping water for fire fighting"
112,"Air Tanker - Fire Bombing Scoops","""","{0} Air Tanker - Fire Bombing Scoops",0,0,"Number of times water was scooped for fire fighting"
113,"Bird-dogging/Fire Fighting Time","""","Bird Dogging/Fire Fighting Time: {0}",1,0,"Time spent as lead aircraft while fighting fires"
114,"Air Tanker - Fire Bombing Time","""","Air Tanker - Fire Bombing Time: {0}",1,0,"Time spent dropping water on a fire"
115,"Fixed External Load Carrying Time","""","Fixed External Load Time: {0}",1,0,"Time spent carrying a fixed external load"
116,"Sling Load Carries","""","Sling Load Carries: {0}",0,0,"(Helicopter) Number of loads carried by sling"
117,"Sling Load Carry Time","""","Sling Load Carry Time: {0}",1,0,"(Helicopter) Time spent carrying loads on a sling"
118,"Hoist Operations","""","Hoist Operations: {0}",0,16777216,"(Helicopter) Number of operations involving a hoist"
119,Repellers,"""","Repellers: {0}",0,8192,"Number of repellers"
120,"Passenger Names","""","Passengers: {0}",5,0,"Name(s) of any passengers on the flight"
121,"Maneuvers: Slow Flight","""","Slow Flight",2,0,"Indicates that slow flight maneuvers were performed"
122,"Introductory Flight","""","Introductory Flight",2,0,"Indicates that this was an introductory flight"
123,"Maneuvers: Rectangular Course","""","Rectangular Course",2,0,"Indicates that rectangular courses were flown"
124,"Maneuvers: Figure Eight","""","Figure Eight",2,0,"Indicates that figure-eight maneuvers were performed"
125,"Maneuvers: Turns about a Point","""","Turns about a Point",2,0,"Indicates that turns-about-a-point were performed"
126,"Aerobatics: Spins","""",Spins,2,0,"Indicates that spins were performed"
127,"Aerobatics: Rolls","""",Rolls,2,0,"Indicates that rolls were performed"
128,"Aerobatics: Loops","""",Loops,2,0,"Indicates that loops were performed"
129,"Aerobatics: Hammer Heads","""","Hammer Heads",2,0,"Indicates that hammer head maneuvers were performed"
130,"Pattern Work","""","Pattern Work",2,0,"Indicates that the flight included work in the pattern near an airfield"
131,"Checkride - Recreational Pilot","""","Recreational Pilot Checkride",2,1048577,"Indicates that this flight was a checkride for a recreational pilot certificate"
132,"Maneuvers: S-Turns","""",S-Turns,2,0,"Indicates that S-Turn maneuvers were performed"
133,"Maneuvers: Lazy Eights","""","Lazy Eights",2,0,"Indicates that lazy-eight maneuvers were performed"
134,"Maneuvers: Eights on Pylons","""","Eights on Pylons",2,0,"Indicates that eights-on-pylons maneuvers were performed"
135,"Maneuvers: Steep Spirals","""","Steep Spirals",2,0,"Indicates that steep-spiral maneuvers were performed"
136,"Aerobatics: Spin Recoveries","""","Spin Recoveries: {0}",0,0,"Number of spin recovers performed"
137,"Military Student Time","""","Military Student Time: {0}",1,0,"Time spent as a student in a military capacity"
138,"Helicopter Rescue Operations","""","{0} Helicopter Rescue Operations",0,0,"Number of rescue operations performed"
139,"Helicopter Aerial Refueling","""","Helicopter Aerial Refueling: {0}",0,0,"Number of in-air refueling operations performed"
140,"Autorotations - Low Level","""","Low Level Autorotations: {0}",0,0,"Number of low-level autorotations performed"
141,"Autorotations - 90 Degrees","""","90-degree Autorotations: {0}",0,0,"Number of 90-degree autorotations performed"
142,"Autorotations - 180 Degrees","""","180-degree Autorotations: {0}",0,0,"Number of 180-degree autorotations performed"
143,"Autorotations - Straight Ahead","""","Straight-Ahead Autorotations: {0}",0,0,"Number of straight-ahead autorotations performed"
144,"Aerial Search Time","""","Aerial Search Time: {0}",1,0,"Time spent doing aerial searching"
145,"Power-off Landings","""","{0} Power-off Landings",0,0,"Subset of landings that were power-off"
146,"Simulated Landings","""","{0} Simulated Landings",0,0,"Number of landings that were simulated"
147,"Formation Flying Time","""","Formation Flying Time: {0}",1,0,"Time spent in formation flight"
148,"Civil Air Patrol: Mission Pilot Time","""","CAP Mission Pilot Time: {0}",1,0,"Time spent as mission pilot"
149,"Civil Air Patrol: Transport Mission Pilot","""","CAP Transport Mission Pilot Time: {0}",1,0,"Time spent as transport mission pilot"
150,"Civil Air Patrol: Mission Observer Time","""","CAP Mission Observer: {0}",1,0,"Time spent as mission observer"
151,"Civil Air Patrol: Mission Scanner Time","""","CAP Mission Scanner: {0}",1,0,"Time spent as mission scanner"
152,"Civil Air Patrol: Mission and Sortie","""","CAP Mission-Sortie: {0}",5,0,"Name/description of the sotie performed"
153,"Part 121 Flight","""","Flight is conducted under Part 121",2,0,"Indicates the flight was conducted under FAA part 121 rules"
154,"Part 135 Flight","""","Flight is conducted under Part 135",2,0,"Indicates the flight was conducted under FAA part 135 rules"
155,"Part 91 Flight","""","Flight is conducted under Part 91",2,0,"Indicates the flight was conducted under FAA part 91 rules"
156,"Flight Number","""","Flight Number {0}",5,0,"The flight number for a flight (e.g., airline flight number)"
157,"Precautionary Searches","""","Precautionary Searches",2,0,"Indicates that the flight included precautionary searches"
158,"Ground Instruction Received","""","{0} hrs ground instruction received",1,16777216,"Time spent receiving ground-instruction"
159,"Fuel Cost","""","Fuel cost: {0}",6,8192,"Cost of fuel for the flight per unit volume (e.g., per gallon or liter)"
160,"Fuel Location","""","Fuel Location: {0}",5,0,"Location where fuel was added"
161,"Checkride - New Category/Class/Type","""","Checkride - New Category/Class/Type",2,1,"Indicates that the flight added a new category/class/type to an existing rating"
162,Purpose,"""","Purpose: {0}",5,0,"Description of the purpose of the flight"
163,Tax-Deductible,"""",Tax-Deductible,2,0,"Indicates that the flight expenses are tax-deductible"
164,"Flight Review","""","Flight Review",2,1,"Indicates that the flight was a flight review (synonym to Biennial Flight Review)"
165,"Observer Time","""","Observer Time: {0}",1,0,"Time spent in an observer role on a flight"
166,"Student Name","""","Student: {0}",5,0,"Name of the student on a flight"
167,"Flight Review Given to Student","""","Performed Flight review for: {0}",5,0,"If a flight review was given, record the name of the student here"
168,"Navigation by Pilotage and Ded. Reckoning","""","Navigation by Pilotage and Ded. Reckoning",2,0,"Indicates that the flight included ded. reckoning"
169,"Zero-visibility Takeoff","""","Zero-visibility Takeoff",2,0,"Indicates that the flight included zero-visibility takeoffs"
170,"Inadvertent IMC Recovery","""","Inadvertent IMC Recovery",2,0,"Indicates that the flight included recovery from IMC penetration"
171,"Right Seat Time","""","Time in Right Seat: {0}",1,0,"Time spent in the right-seat"
172,"Combat Time","""","Combat Time: {0}",1,0,"Time spent in combat"
173,"Landings - Cross-wind ","""","{0} Cross-Wind Landings",0,0,"Subset of landings that involved a cross-wind"
174,"Checkride: Pilot Proficiency","""","Pilot Proficiency Checkride",2,3,"Indicates that the flight was a pilot proficiency checkride (counts as a flight review and an IPC)"
175,"Autorotations - Full Down","""","Full-Down Autorotations: {0}",0,0,"Number of full-down autorotations"
176,"Checkride -  Certified Flight Instructor","""","Certified Flight Instructor Checkride",2,1048577,"Indicates that the flight was a checkride to become a CFI"
177,"Checkride - Instrument Flight Instructor","""","Instrument Flight Instructor Checkride",2,1048577,"Indicates that the flight was a checkride to become a CFII"
178,"Safety-Pilot Name","""","Safety Pilot: {0}",5,0,"Name of the safety pilot for the flight"
179,"UAS - Autonomous","""","UAS - Autonomous",2,0,"Indicates that the flight was an autonomous UAS flight"
180,"UAS - Hand-held Transmitter","""","UAS - Hand-held Transmitter",2,0,"Indicates that the UAS flight was controlled by a hand-held transmitter"
181,"UAS - Lost Link Return","""","UAS - Lost Link Return",2,0,"Indicates that the UAS executed return procedures after a loss of communication"
182,"Charity Flight","""","Charity Flight",2,0,"Indicates that the flight was performed on behalf of a charity"
183,"Name of PIC","""","PIC: {0}",5,0,"Name of the Pilot in Command for the flight"
184,"Name of SIC","""","SIC: {0}",5,0,"Name of the Second in Command for the flight"
185,"Duties of PIC (DPIC)","""","Duties of PIC: {0}",1,16777216,"Time spent performing the duties of pilot in command (but not actually PIC)"
186,"Block In Time","""","Block In Time: {0}",4,0,"Date/time (in UTC) when airplane arrived at the gate"
187,"Block Out Time","""","Block Out Time: {0}",4,0,"Date/time (in UTC) when airplane left the gate"
188,"PIC Proficiency Check (FAR 61.58)","""","PIC Proficiency Check",2,65537,"Indicates flight was a pilot in command proficiency check"
189,"WINGS Phase Completed","""","WINGS Phase Completed",2,1,"Indicates completion of a WINGS phase; counts as a flight review"
190,"Post-Maintenance Flight Check","""","Post Maintenance Flight Check",2,0,"Indicates that the purpose of the flight was to test that maintenance was performed correctly"
191,"Night Cross-country Time","""","Night Cross-country: {0}",1,0,"Indicates time spent on a cross-country flight at night"
192,"CFII Time - IFR Instruction","""","CFII Time: {0}",1,0,"Time spent giving instrument instruction"
193,"Photo Time","""","Photo Time: {0}",1,0,"Time spent taking pictures while airborne"
194,"Bush Time","""","Bush Time: {0}",1,0,"Time spent flying far from civilization"
195,"Remote Sensing Time","""","Remote Sensing Time: {0}",1,0,"Time spent using a drone (UAS) to perform remote sensing operations"
196,"Distance Flown","""","Distance Flown: {0}",1,2097152,"Total distance flown on flight"
197,"Lesson # / Description","""","Lesson # / Description: {0}",5,0,"Lesson # (typically from a standardized syllabus) for a training flight"
198,"Ground Instruction Given","""","{0} hrs ground instruction given",1,16777216,"Amount of time spent providing instruction on the ground"
199,"Engine Running Time (Motorgliders)","""","Engine Running Time: {0}",1,0,"Amount of time in a flight that the engine was running (in a motorglider)"
200,"Formation Flying - Lead Time","""","Formation Flying Lead Time: {0}",1,0,"Time spent in the lead role in formation flight"
201,"Formation Flying - Wing Time","""","Formation Flying Wing Time: {0}",1,0,"Time spent in a non-lead role in formation flight"
202,"Glider Tows","""","Glider Tows: {0}",0,0,"Number of times that a glider was towed"
203,"Pre-Maintenance Flight Check","""","Pre-Maintenance Flight Check",2,0,"Indicates that the purpose of the flight was to verify issues to address in maintenance"
204,"Helicopter: Hover Work","""","Hover work",2,0,"Indicates that hovering was performed"
205,"Helicopter: Autorotate from hover","""","Autorotate from hover",2,0,"Indicates that autorotation maneuvers were performed from a hover"
206,"Helicopter: Hover Out of Ground Effect","""","Hovering Out of Ground Effect",2,0,"Indicates that hovering was performed at an altitude above ground effect"
207,"Helicopter: Slope Operations","""","Slope Operations",2,0,"Indicates that operations involving sloping land were performed"
208,"Helicopter: Maximum Performance Takeoffs","""","{0} Maximum Performance Takeoffs",0,0,"Number of maximum-performance takeoffs (steep climb, high-RPM) that were performed"
209,"Helicopter: Confined Area Operations","""","Confined Area Operations",2,0,"Indicates that the flight included operations in confined areas"
210,"Helicopter: Pinnacle Operations","""","Pinnacle Operations",2,0,"Indicates that the flight included operating near or on pinnacles (area from which the surface drops away steeply on all sides)"
211,"Helicopter: Tail Rotor Failure (Simulated)","""","Tail Rotor Failure (Simulated)",2,0,"Indicates that the flight included the simulated failure of the tail rotor"
212,"Helicopter: Hydraulics Off Operations","""","Hydraulics Off Operations (Simulated)",2,0,"Indicates that the flight included practice with simulated hydraulic failure"
213,"Helicopter: Governor Off Operations","""","Governor-off Operations",2,0,"Indicates that portions of the flight were performed with the governer off"
214,"Helicopter: Run-on Landings","""","{0} Run-on Landings",0,0,"The number of run-on/running (shallow approach) landings"
215,"Helicopter: Running Takeoffs","""","{0} Running Takeoffs",0,0,"The number of running takeoffs (shallow takeoff) takeoffs"
216,"Helicopter: Steep Approach","""","{0} Steep Approaches",0,0,"The number of steep approach maneuvers performed"
217,"Landings - Bush","""","Bush Landings: {0}",0,0,"Subset of landings that were away from a formal airport"
218,"Helicopter: Air Taxi","""","Air Taxi",2,0,"Indicates that air taxiing (higher/faster than hover taxi) was performed"
219,"Helicopter: Hover Taxi","""","Hover Taxi",2,0,"Indicates that hover taxiing (lower/slower than air taxiing) was performed"
220,"Helicopter: Surface Taxi","""","Surface Taxi",2,0,"Indicates that the helicopter taxied with wheels essentially on the ground"
221,"Helicopter: Pick-ups/Set-downs","""",Pick-ups/Set-downs,2,0,"Indicates that items were picked up/put down "
222,"Takeoffs - Towed","""","Towed Takeoffs: {0}",0,16777216,"The subset of total takeoffs that were towed (as opposed to under own power)"
223,"Glider: Maximum Altitude","""","Maximum Altitude: {0}",0,16785408,"The highest altitude reached on a flight (units are up to you)"
224,"Glider: Release Altitude","""","Release Altitude: {0}",0,16785408,"The altitude at which the tow cable was released (units are up to you)"
225,"Checkride - Multi-Engine Flight Instructor","""","Multi-Engine Flight Instructor Checkride",2,1048577,"Indicates that the flight was a checkride to teach in multi-engine aircraft"
226,"Takeoffs - Winched","""","Winched Takeoffs: {0}",0,17301504,"The subset of total takeoffs that were performed using a winch"
227,"Motorglider: Self-Launches","""","Self-Launches: {0}",0,16777216,"The subset of total takeoffs that were performed under own power."
228,"Civil Air Patrol: Proficiency Flight","""","CAP Proficiency Flight",2,0,"Indicates that this was a verification of CAP proficiency"
229,"Civil Air Patrol: Powered Orientation Flight","""","CAP Powered Orientation Flight",2,0,"Indicates that this was a CAP orientation flight in a powered aircraft"
230,"Civil Air Patrol: Glider Orientation Flight","""","CAP Glider Orientation Flight",2,0,"Indicates that this was a CAP orientation flight in a glider"
231,"Banner Pickups","""","{0} Banner Pickups",0,0,"The number of times a banner was picked up (banner towing operations)"
232,"Civil Air Patrol: Form 5 Checkride","""","CAP Form 5 Checkride",2,0,"Indicates that this was a CAP checkride"
233,"Maneuvers: Slips","""",Slips,2,0,"Indicates that slip maneuvers were performed"
234,"Rental Charge","""","Rental Charge: {0}",6,2097152,"Money spent on rental expenses for the flight"
235,"Mission Crew Time","""","Mission Crew Time: {0}",1,0,"Time spent in a mission as a crew member"
236,"Base Check/Check-Out","""","Base Check/Check-Out",2,131072,"Indicates that the flight was a base check (validation of proficiency in a training environment)"
237,"Partial Panel Operations","""","Partial Panel Operations",2,0,"Indicates that some flying was performed without all instruments available"
238,"Maneuvers: Emergency Descents","""","Emergency Descents",2,0,"Indicates that emergency descents were performed"
239,"Events Based Currency (EBC)","""","Events Based Currency",2,0,"Indicates that the flight was contributed to Events Based Currency"
240,"Helicopter: Shallow Approaches","""","{0} Shallow Approach(es)",0,0,"The number of shallow approaches that were performed"
241,"Helicopter: Quick Stops","""","{0} Quick Stop(s)",0,0,"The number of quick-stops that were performed"
242,Helicopter:Pirouettes,"""",Pirouettes,0,0,"The number of pirouette maneuvers performed"
243,"Helicopter: Settling with Power","""","Settling with Power",0,0,"The number of settling-with-power (descending into one's own downwash) maneuvers performed"
244,"Landings - Night, towered Airport","""","{0} Night Landings at a Towered Airport",0,16777216,"The subset of total landings performed at night at an airport with an operating tower"
245,"Landings - Towered airport","""","{0} landings at a towered airport",0,16777216,"The subset of total landings (day or night) that were at an airport with an operating tower"
246,"Takeoffs - No Flaps","""","{0} No Flaps Takeoffs",0,0,"The subset of total takeoffs that were performed without flaps"
247,"Landings - No Flaps","""","{0} No Flaps Landings",0,0,"The subset of total landings that were performed without flaps"
248,"Maintenance Test Flight Examiner Time","""","Maintenance Test Flight Examiner: {0}",1,0,"Time spent as a maintenance test flight examiner"
249,"Maintenance Test Pilot Time","""","Maintenance Test Pilot: {0}",1,0,"Time spent as a Maintenance Test Pilot"
250,"Imminent Danger Time","""","Imminent Danger: {0}",1,0,"Time spent in imminent danger (e.g., combat or equipment failure)"
251,"Check-ride Standardization Eval (APART)","""","Check-ride Standardization Eval (APART)",2,0,"Indicates that the flight was a check-ride standardization evaluation"
252,Diversion,"""",Diversion,2,0,"Indicates that the flight included a diversion"
253,"RON (Remain Over Night)","""","{0} Nights Away (RONs)",0,0,"Number of nights spent away from home base"
254,"Takeoffs - Cross-wind","""","{0} Cross-wind Takeoffs",0,0,"Subset of total takeoffs that were performed with a cross-wind"
255,Dead-Head,"""",Dead-Head,2,0,"Indicates that one was "along for the ride""
256,"Landings - Floating Hull","""","Floating Hull Landings: {0}",0,0,"Indicates the subset of landings performed with a floating hull (vs. floats)"
